,titulo,n_abertur_0.5,n_ganhos_1.0,porc_ganho_0.5,n_ganho_qualquer,porc_ganho
0,BPML11.SA,110,90,81.81818181818183,97,88.18181818181819
1,CPFF11.SA,67,47,70.1492537313433,52,77.61194029850746
2,CXCO11.SA,41,29,70.73170731707317,30,73.17073170731707
3,DVFF11.SA,87,66,75.86206896551724,70,80.45977011494253
4,GGPS3.SA,107,80,74.76635514018692,68,63.55140186915887
5,HOFC11.SA,47,39,82.97872340425532,42,89.36170212765957
6,MDIA3.SA,98,71,72.44897959183673,66,67.3469387755102
7,MGHT11.SA,11,8,72.72727272727273,7,63.63636363636363
8,MORE11.SA,36,26,72.22222222222221,25,69.44444444444444
9,NEWU11.SA,87,62,71.26436781609196,65,74.71264367816092
10,PAGS34.SA,101,78,77.22772277227723,62,61.386138613861384
11,PLPL3.SA,112,99,88.39285714285714,69,61.60714285714286
12,PNVL3.SA,84,61,72.61904761904762,54,64.28571428571429
13,RBRL11.SA,31,25,80.64516129032258,24,77.41935483870968
14,RFOF11.SA,41,29,70.73170731707317,33,80.48780487804879
15,ROMI3.SA,74,57,77.02702702702703,46,62.16216216216216
16,RVBI11.SA,35,26,74.28571428571429,27,77.14285714285715
17,SMFT3.SA,118,91,77.11864406779661,72,61.016949152542374
18,TGMA3.SA,99,78,78.78787878787878,64,64.64646464646465
19,VERZ34.SA,38,27,71.05263157894737,26,68.42105263157895
20,VULC3.SA,110,85,77.27272727272727,68,61.81818181818181
21,WALM34.SA,80,63,78.75,56,70.0
