#;Símbolo;Nome;acoes;Preço;Dividendo;Faturamento;Receita Líquida;Fluxo de Caixa;Fluxo de Caixa Operacional;Tipo;Data de Fundação;Setor;CEO;Site
1;A1AP34;Advance Auto Parts;A1AP34.SA;R$ 23,16;0;R$2.5 bi;R$-60.5 mi;R$257.0 mi;R$2.5 bi;B3;1932;;Shane O’Kelly;shop.advanceautoparts.com
2;A1CR34;Amcor;A1CR34.SA;R$ 45,75;0;R$3.3 bi;R$134.0 mi;R$363.0 mi;R$3.3 bi;B3;1896;;Ron Delia;amcor.com
3;A1DI34;Analog Devices;A1DI34.SA;R$ 474,24;0;R$2.5 bi;R$462.7 mi;R$1.1 bi;R$2.5 bi;B3;1965;;Vincent Roche;analog.com
4;A1DM34;Archer Daniels Midland;A1DM34.SA;R$ 313,50;0;R$23.0 bi;R$565.0 mi;R$2.6 bi;R$23.0 bi;B3;1902;;Juan Ricardo Luciano;adm.com
5;A1EE34;Ameren Corp Bdr;A1EE34.SA;R$ 184,11;0;R$1.6 bi;R$158.0 mi;R$533.0 mi;R$1.6 bi;BDR;1997;;Martin J Lyons;amereninvestors.com
6;A1EG34;Aegon;A1EG34.SA;R$ 30,15;0;R$3.1 bi;R$11.0 mi;R$-98.5 mi;R$3.1 bi;B3;1844;;Lard Friese;aegon.com
7;A1EN34;Alliant Energy Corp Bdr;A1EN34.SA;R$ 244,08;0;R$961.0 mi;R$121.0 mi;R$245.0 mi;R$961.0 mi;BDR;1917;;John O. Larsen;alliantenergy.com
8;A1EP34;American Electric Power;A1EP34.SA;R$ 210,00;0;R$4.6 bi;R$336.2 mi;R$1.3 bi;R$4.6 bi;B3;1906;;;aep.com
9;A1ES34;AES Corporation;A1ES34.SA;R$ 88,83;0;R$3.0 bi;R$-94.0 mi;R$725.0 mi;R$3.0 bi;B3;1981;;Andres Gluski;aes.com
10;A1FL34;Aflac Inc Brazilian Depositary Receipt;A1FL34.SA;R$ 431,00;0;R$3.8 bi;R$268.0 mi;R$833.0 mi;R$3.8 bi;B3;1955;;Dan Amos;aflac.com
11;A1GI34;Agilent Technologies;A1GI34.SA;R$ 328,40;0;R$ 1.7 bi;R$ 348.0 mi;R$ 485.0 mi;R$ 1.7 bi;B3;1999;;Michael R. McMullen;agilent.com
12;A1GN34;Allegion Plc Bdr;A1GN34.SA;R$ 306,00;0;R$ 897.4 mi;R$ 118.6 mi;R$ 219.5 mi;R$ 897.4 mi;BDR;1908;;;allegion.com
13;A1IV34;Apartment Investment & Management Co Bdr;A1IV34.SA;R$ 41,60;0;R$ 179.0 mi;R$ -16.2 mi;R$ 7.9 mi;R$ 179.0 mi;BDR;1975;;Wesley W. Powell;aimco.com
14;A1JG34;Arthur J. Gallagher & Co.;A1JG34.SA;R$ 574,00;0;R$ 2.3 bi;R$ -32.2 mi;R$ 693.6 mi;R$ 2.3 bi;B3;1927;;J. Patrick Gallagher Jr;ajg.com
15;A1KA34;Akamai Technologies;A1KA34.SA;R$ 45,20;0;R$ 995.0 mi;R$ 161.2 mi;R$ 389.2 mi;R$ 995.0 mi;B3;1998;;F. Thomson Leighton;akamai.com
16;A1LB34;Albemarle Corp Bdr;A1LB34.SA;R$ 26,15;0;R$ 2.4 bi;R$ -617.7 mi;R$ -98.2 mi;R$ 2.4 bi;BDR;1994;;J Kent Masters;albemarle.com
17;A1LG34;Align Technology Inc Bdr;A1LG34.SA;R$ 403,21;0;R$ 956.7 mi;R$ 124.0 mi;R$ 46.9 mi;R$ 956.7 mi;BDR;1997;;Joseph M. Hogan;aligntech.com
18;A1LK34;Alaska Air Group Inc Bdr;A1LK34.SA;R$ 192,28;0;R$ 2.5 bi;R$ -2.0 mi;R$ -53.0 mi;R$ 2.5 bi;BDR;1985;;Ben Minicucci;careers.alaskaair.com
19;A1LL34;Alliance Data Systems Corp Bdr;A1LL34.SA;R$ 44,08;0;R$ 534.0 mi;R$ 43.0 mi;R$ 617.0 mi;R$ 534.0 mi;BDR;1983;;Ralph Andretta;breadfinancial.com
20;A1LN34;Alnylam Pharmaceuticals Inc Bdr;A1LN34.SA;R$ 38,52;0;R$ 439.7 mi;R$ -137.9 mi;R$ -29.8 mi;R$ 439.7 mi;BDR;2002;;Yvonne Greenstreet;alnylam.com
21;A1MD34;Advanced Micro Devices;A1MD34.SA;R$ 104,70;0;R$ 6.2 bi;R$ 667.0 mi;R$ 381.0 mi;R$ 6.2 bi;B3;1969;;Lisa Su;amd.com
22;A1ME34;AMETEK Inc.;A1ME34.SA;R$ 38,50;0;R$ 1.7 bi;R$ 342.9 mi;R$ 540.7 mi;R$ 1.7 bi;B3;1930;;David A Zapico;ametek.com
23;A1MP34;Ameriprise Financial Inc Bdr;A1MP34.SA;R$ 529,20;0;R$ 4.2 bi;R$ 377.0 mi;R$ 2.1 bi;R$ 4.2 bi;BDR;1894;;James Cracchiolo;ameriprise.com
24;A1MT34;Applied Materials Inc Brazilian Depositary Receipt;A1MT34.SA;R$ 106,79;0;R$ 6.7 bi;R$ 2.0 bi;R$ 2.3 bi;R$ 6.7 bi;B3;1967;;Gary E. Dickerson;appliedmaterials.com
25;A1NE34;Arista Networks Inc Bdr;A1NE34.SA;R$ 348,08;0;R$ 1.5 bi;R$ 613.6 mi;R$ 526.5 mi;R$ 1.5 bi;BDR;2004;;Jayshree Ullal;arista.com
26;A1NS34;Ansys Inc.;A1NS34.SA;R$ 407,82;0;R$ 805.1 mi;R$ 274.8 mi;R$ 232.7 mi;R$ 805.1 mi;B3;1970;;Ajei Gopal;ansys.com
27;A1ON34;Aon;A1ON34.SA;R$ 398,40;0;R$ 3.4 bi;R$ 498.0 mi;R$ 1.3 bi;R$ 3.4 bi;B3;1982;;Gregory C. Case;aon.com
